ptime,start_code,end_code,spec_datetime,spec_type
2022-07-28 14:04:06.240000,1040161,1400046,2022-07-28 11:42:00,0
2022-08-01 16:06:55.470000,6016041,1440096,2022-08-01 12:20:00,0
2022-08-01 16:05:21,1080321,6016041,2022-08-01 12:22:00,0
2022-08-08 01:45:55.050000,1010031,1430001,2022-08-07 21:55:00,0
2022-08-08 01:45:55.050000,1010031,1430001,2022-08-07 21:55:00,0
2022-08-08 01:45:55.050000,1010031,1430001,2022-08-07 21:55:00,0
2022-08-10 08:10:34.710000,1800036,1810061,2022-08-10 06:47:00,0
2022-08-10 08:10:34.710000,1800036,1810061,2022-08-10 06:47:00,0
2022-08-10 08:13:34.710000,1800036,1810061,2022-08-10 06:50:00,0
2022-08-10 08:13:34.710000,1800036,1810061,2022-08-10 06:50:00,0
2022-08-10 08:17:34.710000,1800036,1810061,2022-08-10 06:54:00,0
2022-08-10 08:17:34.710000,1800036,1810061,2022-08-10 06:54:00,0
2022-08-10 08:17:34.710000,1800036,1810061,2022-08-10 06:54:00,0
2022-08-10 13:38:14.340000,1800001,1800131,2022-08-10 11:58:00,0
2022-08-11 10:01:54.840000,1040251,1420041,2022-08-11 07:42:00,0
2022-08-11 10:08:54.840000,1040251,1420041,2022-08-11 07:49:00,0
2022-08-12 20:06:43.350000,1810001,214K056,2022-08-12 19:28:00,0
2022-08-12 20:06:43.350000,1810001,214K056,2022-08-12 19:28:00,0
2022-08-12 20:06:43.350000,1810001,214K056,2022-08-12 19:28:00,0
2022-08-15 17:24:10.260000,1410036,1400056,2022-08-15 11:18:00,0
2022-08-15 17:24:10.260000,1410036,1400056,2022-08-15 11:18:00,0
2022-08-16 02:49:46.470000,1040366,1400091,2022-08-15 22:33:00,0
2022-08-16 02:49:46.470000,1040366,1400091,2022-08-15 22:33:00,0
2022-08-16 17:19:25.800000,205A006,1040376,2022-08-16 16:02:00,0
2022-08-29 07:37:57.360000,1800081,1800026,2022-08-29 07:03:00,0
2022-08-29 07:37:57.360000,1800081,1800026,2022-08-29 07:03:00,0
2022-08-29 07:37:57.360000,1800081,1800026,2022-08-29 07:03:00,0
2022-08-29 07:37:57.360000,1800081,1800026,2022-08-29 07:03:00,0
2022-08-29 07:37:57.360000,1800081,1800026,2022-08-29 07:03:00,0
2022-09-02 17:32:21.900000,1800006,1810036,2022-09-02 16:22:00,0
2022-09-02 17:32:21.900000,1800006,1810036,2022-09-02 16:22:00,0
2022-09-02 17:38:12.270000,1810036,1800006,2022-09-02 16:25:00,0
2022-09-02 17:32:21.900000,1800006,1810036,2022-09-02 16:22:00,0
2022-09-02 17:32:21.900000,1800006,1810036,2022-09-02 16:22:00,0
2022-09-04 11:07:39.480000,1040291,1040366,2022-09-04 10:20:00,0
2022-09-04 11:08:01.440000,1040366,1040291,2022-09-04 10:20:00,0
2022-09-04 11:08:01.440000,1040366,1040291,2022-09-04 10:20:00,0
2022-09-04 11:07:39.480000,1040291,1040366,2022-09-04 10:20:00,0
2022-09-04 11:08:01.440000,1040366,1040291,2022-09-04 10:20:00,0
2022-09-08 23:29:55.260000,214K046,1800141,2022-09-08 21:35:00,0
2022-09-13 06:26:53.280000,1800076,1800006,2022-09-13 05:44:00,0
2022-09-13 06:26:53.280000,1800076,1800006,2022-09-13 05:44:00,0
2022-09-13 06:26:53.280000,1800076,1800006,2022-09-13 05:44:00,0
2022-09-13 06:26:53.280000,1800076,1800006,2022-09-13 05:44:00,0
2022-09-13 06:26:53.280000,1800076,1800006,2022-09-13 05:44:00,0
2022-09-13 06:26:53.280000,1800076,1800006,2022-09-13 05:44:00,0
2022-09-13 16:15:35.520000,1040136,1040181,2022-09-13 15:52:00,0
2022-09-13 16:15:35.520000,1040136,1040181,2022-09-13 15:52:00,0
2022-09-13 16:16:35.520000,1040136,1040181,2022-09-13 15:53:00,0
2022-09-21 21:51:30.870000,1040106,6016051,2022-09-21 20:12:00,0
2022-09-25 00:52:03.090000,1040216,1040431,2022-09-24 21:30:00,0
2022-09-25 00:52:03.090000,1040216,1040431,2022-09-24 21:30:00,0
2022-09-25 00:52:03.090000,1040216,1040431,2022-09-24 21:30:00,0
2022-09-25 00:52:03.090000,1040216,1040431,2022-09-24 21:30:00,0
2022-10-07 10:51:39.030000,1040206,1100016,2022-10-07 07:40:00,0
2022-10-07 10:51:39.030000,1040206,1100016,2022-10-07 07:40:00,0
2022-10-07 10:51:39.030000,1040206,1100016,2022-10-07 07:40:00,0
2022-10-08 14:18:15.660000,1040381,1400306,2022-10-08 12:15:00,0
2022-10-08 14:18:15.660000,1040381,1400306,2022-10-08 12:15:00,0
2022-10-08 14:20:15.660000,1040381,1400306,2022-10-08 12:17:00,0
2022-10-08 14:21:15.660000,1040381,1400306,2022-10-08 12:18:00,0
2022-10-08 14:22:15.660000,1040381,1400306,2022-10-08 12:19:00,0
2022-10-08 14:23:15.660000,1040381,1400306,2022-10-08 12:20:00,0
2022-10-08 14:24:15.660000,1040381,1400306,2022-10-08 12:21:00,0
2022-10-08 14:25:15.660000,1040381,1400306,2022-10-08 12:22:00,0
2022-10-08 15:20:15.660000,1040381,1400306,2022-10-08 13:17:00,0
2022-10-09 10:41:38.730000,1810086,1100001,2022-10-09 08:04:00,0
2022-10-09 10:41:38.730000,1810086,1100001,2022-10-09 08:04:00,0
2022-10-10 11:17:21.390000,1400026,1800186,2022-10-10 08:00:00,0
2022-10-10 11:17:21.390000,1400026,1800186,2022-10-10 08:00:00,0
2022-10-20 17:21:29.550000,1810006,1800036,2022-10-20 16:56:00,0
2022-10-20 17:21:29.550000,1810006,1800036,2022-10-20 16:56:00,0
2022-10-23 23:40:15.480000,1810101,1800001,2022-10-23 21:13:00,0
2022-10-23 23:40:15.480000,1810101,1800001,2022-10-23 21:13:00,0
2022-10-23 23:43:15.480000,1810101,1800001,2022-10-23 21:16:00,0
2022-10-23 23:45:15.480000,1810101,1800001,2022-10-23 21:18:00,0
2022-10-23 23:49:15.480000,1810101,1800001,2022-10-23 21:22:00,0
2022-10-25 15:30:16.530000,1040016,1080306,2022-10-25 12:25:00,0
2022-10-25 21:25:20.280000,1430021,1040276,2022-10-25 20:24:00,0
2022-10-28 18:45:55.500000,1400101,1080121,2022-10-28 12:22:00,0
2022-10-28 18:45:55.500000,1400101,1080121,2022-10-28 12:22:00,0
2022-10-30 21:29:22.920000,1100016,1040106,2022-10-30 19:39:00,0
2022-10-30 21:29:22.920000,1100016,1040106,2022-10-30 19:39:00,0
2022-10-30 21:29:22.920000,1100016,1040106,2022-10-30 19:39:00,0
2022-10-30 21:29:22.920000,1100016,1040106,2022-10-30 19:39:00,0
2022-11-11 20:14:46.920000,1040361,1040316,2022-11-11 19:52:00,0
2022-11-11 20:14:46.920000,1040361,1040316,2022-11-11 19:52:00,0
2022-11-15 19:04:50.820000,1040446,214K206,2022-11-15 12:17:00,0
2022-11-15 19:04:50.820000,1040446,214K206,2022-11-15 12:17:00,0
2022-11-15 19:09:50.820000,1040446,214K206,2022-11-15 12:22:00,0
2022-11-15 19:09:50.820000,1040446,214K206,2022-11-15 12:22:00,0
2022-11-15 19:09:50.820000,1040446,214K206,2022-11-15 12:22:00,0
2022-11-20 08:43:24.120000,1040036,1040126,2022-11-20 07:34:00,0
2022-11-20 08:43:24.120000,1040036,1040126,2022-11-20 07:34:00,0
2022-11-20 08:43:24.120000,1040036,1040126,2022-11-20 07:34:00,0
